Date,Symbol,Company Name,DealId,Employees,Total Offering Expense,Shareholder Shares Offered,Shares Outstanding,Lockup Period (days),Quiet Period (days),CIK,Exchange,Exchange Group,Price,Shares,filing,price offer,close price
3/15/07,BBND,"BigBand Networks, Inc.",729691-52804,562,"$2,400,000.00 ",--,"57,119,068",180,25,1381325,NASDAQ National Market,NASDAQ,13,"10,700,000",S1,13,17
10/30/13,VCYT,"VERACYTE, INC.",729484-73535,107,"$2,500,000.00 ",--,"20,989,890",180,40,1384101,NASDAQ National Market,NASDAQ,13,"5,000,000",S1,13,13.25
9/27/13,RNG,"RingCentral, Inc.",730508-73332,399,"$3,579,140.00 ","80,000","7,500,000",180,40,1384905,NYSE,NYSE,13,"7,500,000",S1,13,18.2
5/26/11,FSL,"Freescale Semiconductor, Ltd.",748380-66346,18500,"$6,000,000.00 ",--,"239,858,593",180,40,1392522,NYSE,NYSE,18,"43,500,000",S1,13,14.02
7/25/14,OCUL,"OCULAR THERAPEUTIX, INC",738056-75787,58,"$2,870,000.00 ",--,"20,569,490",180,40,1393434,NASDAQ National Market,NASDAQ,13,"5,000,000",S1,13,13.5
7/18/07,DHX,"DHI GROUP, INC.",740167-54016,329,"$2,500,000.00 ","10,000,000","61,960,992",180,26,1393883,NYSE,NYSE,13,"16,700,000",S1,13,13.4
7/20/07,HGG,"hhgregg, Inc.",741475-54159,3171,"$3,000,296.00 ","6,250,000","31,616,600",180,25,1396279,NYSE,NYSE,13,"9,375,000",S1,13,14.55
3/17/11,CSOD,Cornerstone OnDemand Inc,746404-65285,327,"$4,100,000.00 ","3,000,000","46,636,370",180,40,1401680,NASDAQ National Market,NASDAQ,13,"10,500,000",S1,13,19.07
3/24/10,CALX,"CALIX, INC",750845-62665,407,"$4,250,000.00 ","2,162,266","36,297,532",180,26,1406666,NYSE,NYSE,13,"6,328,932",S1,13,15.1
3/20/14,QTWO,"Q2 Holdings, Inc.",755026-74633,425,"$3,199,848.00 ","1,510,870","31,949,901",180,40,1410384,NYSE,NYSE,13,"7,760,870",S1,13,15.17
10/19/11,ZLTQ,Zeltiq Aesthetics Inc,759517-67654,148,"$4,120,314.00 ","307,000","32,758,082",180,40,1415336,NASDAQ National Market,NASDAQ,13,"7,000,000",S1,13,15.5
2/12/14,FLXN,Flexion Therapeutics Inc,763477-74367,16,"$2,200,000.00 ",--,"14,746,147",180,40,1419600,NASDAQ National Market,NASDAQ,13,"5,000,000",S1,13,14.71
10/12/17,KIDS,ORTHOPEDIATRICS CORP,768881-81144,62,"$2,149,013.25 ",--,"12,044,435",180,40,1425450,NASDAQ Global,NASDAQ,13,"4,000,000",S1,13,19.72
12/8/10,CTP,CTPARTNERS EXECUTIVE SEARCH INC.,782159-65091,288,"$1,603,910.00 ","438,472","6,830,767",180,40,1439199,American Stock Exchange,NYSE,13,"2,307,692",S1,13,13
11/21/19,SITM,SITIME Corp,793766-90886,135,"$2,700,000.00 ",--,"14,300,000",180,40,1451809,NASDAQ Global,NASDAQ,13,"4,300,000",S1,13,18.65
3/28/14,TWOU,"2U, LLC",800831-74700,594,"$3,500,000.00 ","1,175,000","39,130,341",180,40,1459417,NASDAQ National Market,NASDAQ,13,"9,175,000",S1,13,13.98
11/16/11,CLVS,"Clovis Oncology, Inc.",807381-67478,45,"$2,380,000.00 ",--,"21,663,604",180,40,1466301,NASDAQ National Market,NASDAQ,13,"10,000,000",S1,13,12.56
11/20/09,GTEC,"SOTERA DEFENSE SOLUTIONS, INC.",811299-61969,680,"$1,510,000.00 ","1,600,000","9,036,432",180,25,1471038,NASDAQ National Market,NASDAQ,13,"4,600,000",S1,13,13.08
2/11/10,GNRC,GENERAC HOLDINGS INC.,814154-62379,1486,"$4,450,000.00 ",--,"65,578,790",180,25,1474735,NYSE,NYSE,13,"18,750,000",S1,13,12.84
10/26/16,RARX,"Ra Pharmaceuticals, Inc.",822499-81827,40,"$1,700,000.00 ",--,"21,488,780",180,40,1481512,NASDAQ Global,NASDAQ,13,"7,049,230",S1,13,13
10/15/10,TOWR,"Tower International, Inc.",823046-63479,7400,"$5,500,000.00 ",--,"18,717,866",180,40,1485469,NYSE,NYSE,13,"6,250,000",S1,13,13
8/6/10,IL,"IntraLinks Holdings, Inc.",825687-63852,423,"$2,750,000.00 ",--,"49,284,964",180,40,1488075,NYSE,NYSE,13,"11,000,000",S1,13,9.61
5/17/13,MKTO,"Marketo, Inc.",827852-72170,373,"$3,600,000.00 ","309,509","35,784,149",180,40,1490660,NASDAQ National Market,NASDAQ,13,"6,059,509",S1,13,23.1
4/14/11,TMS,TMS International Corp.,828536-64166,3500,"$2,500,000.00 ","2,000,000","11,200,000",180,40,1491501,NYSE,NYSE,13,"11,200,000",S1,13,12.58
6/28/12,TSRO,"Tesaro, Inc.",828993-69487,20,"$2,540,000.00 ",--,"26,670,486",180,40,1491576,NASDAQ National Market,NASDAQ,13.5,"6,000,000",S1,13,13.69
11/17/11,ANGI,"Angie's List, Inc.",828500-68016,0,"$3,343,824.00 ","2,543,408","55,594,944",180,40,1491778,NASDAQ National Market,NASDAQ,13,"8,793,408",S1,13,16.28
10/9/14,VBTX,"Veritex Holdings, Inc.",837369-76339,126,"$1,856,652.00 ",--,"9,058,832",180,40,1501570,NASDAQ National Market,NASDAQ,13,"2,700,000",S1,13,13.95
1/30/15,AVGR,Avinger Inc,842629-77352,116,"$3,569,767.00 ",--,"10,229,806",180,40,1506928,NASDAQ National Market,NASDAQ,13,"5,000,000",S1,13,13.5
5/26/11,LPR,Lone Pine Resources Inc.,843092-65902,62,"$5,000,000.00 ",--,"85,019,231",180,40,1506932,NYSE,NYSE,13,"15,000,000",S1,13,11.55
7/24/12,CHUY,"CHUY'S HOLDINGS, INC.",861521-67870,3954,"$2,910,000.00 ",--,"15,043,428",180,41,1524931,NASDAQ National Market,NASDAQ,13,"5,833,333",S1,13,15.06
1/25/12,GWRE,"Guidewire Software, Inc.",863116-68084,684,"$4,000,000.00 ",--,"48,892,951",180,40,1528396,NYSE,NYSE,13,"8,850,000",S1,13,17.12
4/20/12,MPO,Amplify Energy Corp.,867950-68626,51,"$4,400,000.00 ","6,000,000","65,634,353",180,40,1533924,NYSE,NYSE,13,"24,000,000",S1,13,15.03
11/2/12,SXE,Southcross Energy Partners LLC,880060-69696,0,"$4,500,000.00 ",--,"12,213,713",180,40,1547638,NYSE,NYSE,20,"9,000,000",S1,13,15.5
11/8/13,NMIH,"NMI Holdings, Inc.",880154-73694,175,"$1,600,000.00 ","3,395","57,737,480",180,40,1547903,NASDAQ National Market,NASDAQ,13,"2,103,395",S1,13,14
10/25/19,PGNY,"Progyny, Inc.",883250-90710,163,"$3,500,000.00 ","3,300,000","82,174,794",180,40,1551306,NASDAQ Global Select,NASDAQ,13,"10,000,000",S1,13,15.94
10/9/13,SFXE,"SFX Entertainment, INC",885264-72880,178,"$7,401,536.00 ",--,"83,847,154",180,40,1553588,NASDAQ National Market,NASDAQ,13,"20,000,000",S1,13,11.89
11/8/19,TELA,"TELA Bio, Inc.",894283-90840,86,"$2,500,000.00 ",--,"11,006,756",180,40,1561921,NASDAQ Global,NASDAQ,13,"4,000,000",S1,13,13.35
2/8/18,VCTR,"Victory Capital Holdings, Inc.",901211-85795,276,"$5,500,000.00 ",--,"11,700,000",180,40,1570827,NASDAQ Global Select,NASDAQ,13,"11,700,000",S1,13,11.6
8/1/14,LOXO,"Loxo Oncology, Inc.",911020-75877,9,"$2,100,000.00 ",--,"15,940,987",180,40,1581720,NASDAQ National Market,NASDAQ,13,"5,261,538",S1,13,13
5/22/14,SEMI,SunEdison Semiconductor Ltd,914959-73440,4100,"$3,800,000.00 ",--,"23,560,251",180,40,1585854,NASDAQ National Market,NASDAQ,13,"7,200,000",S1,13,15
10/22/15,DMTX,"Dimension Therapeutics, Inc.",920580-79379,49,"$3,050,000.00 ",--,"24,879,574",180,40,1592288,NASDAQ National Market,NASDAQ,13,"5,500,000",S1,13,10.8
10/10/14,DPLO,"Diplomat Pharmacy, Inc.",938614-75909,1018,"$2,221,000.00 ","3,333,333","50,448,744",180,40,1610092,NYSE,NYSE,13,"13,333,333",S1,13,16.02
8/14/18,ARDS,"Aridis Pharmaceuticals, Inc.",939835-87392,30,"$800,000.00 ",--,"7,890,292",180,41,1614067,NASDAQ Capital,NASDAQ,13,"2,000,000",S1,13,13
10/22/15,MPSX,Multi Packaging Solutions International Ltd,969078-78829,8900,"$6,200,000.00 ","1,000,000","77,439,432",180,40,1645926,NYSE,NYSE,13,"16,500,000",S1,13,15.83
5/25/18,ITRM,Iterum Therapeutics plc,980735-86721,38,"$3,000,000.00 ",--,"13,959,423",180,40,1659323,NASDAQ Global,NASDAQ,13,"6,150,000",S1,13,12.85
2/9/18,CDLX,"Cardlytics, Inc.",1025424-85804,342,"$4,250,000.00 ",--,"19,519,619",180,40,1666071,NASDAQ Global,NASDAQ,13,"5,400,000",S1,13,13.37
3/9/17,JILL,"J.Jill, Inc.",1015222-82780,3801,"$6,125,000.00 ","11,666,667","43,747,944",180,40,1687932,NYSE,NYSE,13,"11,666,667",S1,13,12.65
1/17/20,VEL,"Velocity Financial, Inc.",1010572-90853,259,"$5,070,172.00 ",--,"18,999,994",180,40,1692376,NYSE,NYSE,13,"7,250,000",S1,13,13.51
11/1/17,ALTR,Altair Engineering Inc.,1033792-84874,2400,"$4,120,000.00 ","3,934,996","21,387,512",180,40,1701732,NASDAQ Global Select,NASDAQ,13,"12,000,000",S1,13,18.31
6/21/18,IIIV,"i3 Verticals, Inc.",1054729-86983,326,"$3,336,726.00 ",--,"8,094,403",180,40,1728688,NASDAQ Global Select,NASDAQ,13,"6,650,000",S1,13,18.35
6/27/19,CHNG,Change Healthcare Inc.,1080290-89206,14000,"$10,000,000.00 ",--,"118,331,796",180,40,1756497,NASDAQ Global Select,NASDAQ,13,"42,857,142",S1,13,15
2/1/24,AS,"Amer Sports, Inc.",1281674-108714,10800,"$40,000,000.00 ",--,"484,499,607",180,40,1988894,NYSE,NYSE,13,"105,000,000",F1,13,13.4
11/27/24,PONY,Pony AI Inc.,1312081-111752,1359,"$7,647,228.00 ",--,"267,873,562",180,40,1969302,NASDAQ Global Select,NASDAQ,13,"20,000,000",F1,13,12
1/26/24,BTSG,"BrightSpring Health Services, Inc.",1182104-108703,35000,"$4,705,500.00 ",--,"171,190,389",180,40,1865782,NASDAQ Global Select,NASDAQ,13,"53,333,334",S1,13,11
10/7/09,BSBR,Banco Santander (Brasil) S.A.,811264-61961,52252,"$10,145,390.00 ",--,"210,864,171,114",180,26,1471055,NYSE,NYSE,13.4,"525,000,000",F1,13.4033,13.01
12/12/13,CTT,"CatchMark Timber Trust, Inc.",690618-73554,8,"$3,000,000.00 ",--,"13,934,322",180,40,1341141,NYSE,NYSE,13.5,"10,526,316",0,13.5,13.5
6/12/01,WSH,WILLIS TOWERS WATSON PLC,86475-13170,10470,"$69,000.00 ",--,"143,995,118",180,27,1140536,NYSE,NYSE,13.5,"20,000,000",F1,13.5,16.6
10/28/04,LONG,"eLong, Inc.",651773-41601,1234,"$2,201,582.00 ","979,312","28,538,900",180,25,1290903,NASDAQ National Market,NASDAQ,13.5,"4,602,547",F1,13.5,14.4
2/8/05,GRVY,"GRAVITY Co., Ltd.",661340-42995,368,"$2,305,500.00 ","2,400,000","28,705,600",180,27,1313310,NASDAQ National Market,NASDAQ,13.5,"8,000,000",F1,13.5,12.59
9/27/06,MR,Mindray Medical International LTD,720126-51429,2438,"$3,600,000.00 ","9,357,000","20,000,000",180,26,1373060,NYSE,NYSE,13.5,"20,000,000",F1,13.5,17.72
3/28/07,ETEL,"eTelecare Global Solutions, Inc.",737679-53690,9800,"$3,200,000.00 ",--,"5,500,000",180,26,1377902,NASDAQ National Market,NASDAQ,13.5,"5,500,000",F1,13.5,14.55
3/13/14,GLMD,Galmed Pharmaceuticals Ltd.,926632-74581,5,"$1,236,248.40 ",--,"10,674,843",180,40,1595353,NASDAQ SmallCap Market,NASDAQ,13.5,"2,837,400",F1,13.5,14.31
6/12/14,ZPIN,Zhaopin Ltd,724055-75339,3534,"$3,755,760.00 ",--,"5,610,000",180,40,1378564,NYSE,NYSE,13.5,"5,610,000",F1,13.5,14.65
12/11/14,MOMO,Hello Group Inc.,949006-76912,358,"$4,356,523.00 ",--,"16,000,000",180,40,1610601,NASDAQ National Market,NASDAQ,13.5,"16,000,000",F1,13.5,17.02
4/27/16,YIN,Yintech Investment Holdings Ltd,991362-80657,1891,"$3,956,854.00 ",--,"7,500,000",180,40,1661125,NASDAQ National Market,NASDAQ,13.5,"7,500,000",F1,13.5,13.5
1/17/20,DNK,Phoenix Tree Holdings Ltd,1099597-90916,5205,"$4,072,000.00 ",--,"9,600,000",180,40,1785154,NYSE,NYSE,13.5,"9,600,000",F1,13.5,13.5
2/10/11,FLDM,STANDARD BIOTOOLS INC.,95194-65822,198,"$2,250,000.00 ",--,"18,975,568",180,40,1162194,NASDAQ National Market,NASDAQ,13.5,"5,558,333",S1,13.5,14.02
9/24/09,AONE,"B456 SYSTEMS, INC.",97902-59078,1672,"$6,809,609.00 ","680,501","98,180,520",180,25,1167178,NASDAQ National Market,NASDAQ,13.5,"28,180,501",S1,13.5,20.29
5/4/11,WIFI,"BOINGO WIRELESS, INC.",104853-66176,135,"$2,400,576.00 ","1,923,200","32,528,097",180,40,1169988,NASDAQ National Market,NASDAQ,13.5,"5,770,000",S1,13.5,12.1
9/30/04,PRS,PRIMUS GUARANTY LTD,106185-39121,31,"$3,300,000.00 ","1,201,335","42,787,843",180,25,1170593,NYSE,NYSE,13.5,"10,344,828",S1,13.5,13.5
5/2/07,CAVM,"CAVIUM, INC.",113084-53398,177,"$2,450,000.00 ",--,"38,057,971",180,26,1175609,NASDAQ National Market,NASDAQ,13.5,"6,750,000",S1,13.5,16.45
10/10/07,CML,COMPELLENT TECHNOLOGIES INC,417388-55215,172,"$2,000,000.00 ",--,"29,671,309",180,26,1253955,NYSE,NYSE,13.5,"6,000,000",S1,13.5,24.19
10/20/06,EXLS,"ExlService Holdings, Inc.",656996-42349,7300,"$2,500,000.00 ",--,"27,338,676",180,25,1297989,NASDAQ National Market,NASDAQ,13.5,"5,000,000",S1,13.5,18.84
1/28/05,NATL,National Interstate CORP,650441-41409,245,"$1,412,236.00 ","497,000","18,965,200",180,25,1301106,NASDAQ National Market,NASDAQ,13.5,"3,847,000",S1,13.5,15.58
12/14/04,BXC,BlueLinx Holdings Inc.,648359-41135,3400,"$2,437,603.00 ",--,"29,500,000",180,27,1301787,NYSE,NYSE,13.5,"9,500,000",S1,13.5,13.5
12/17/09,KRA,Kraton Corp,669290-62202,805,"$3,809,616.17 ",--,"29,709,114",180,25,1321646,NYSE,NYSE,13.5,"10,294,118",S1,13.5,13.51
3/30/07,FSR,"Flagstone Reinsurance Holdings, S.A.",694575-52028,115,"$4,500,000.00 ",--,"84,547,891",180,25,1347815,NYSE,NYSE,13.5,"13,000,000",S1,13.5,13.48
12/15/06,AIMC,Altra Industrial Motion Corp.,722111-51728,2600,"$2,000,000.00 ","6,666,666","23,087,591",180,25,1374535,NASDAQ National Market,NASDAQ,13.5,"10,000,000",S1,13.5,14.29
11/5/09,ACOM,Ancestry.com Inc.,809494-61677,700,"$2,750,000.00 ","3,333,333","42,402,916",180,25,1469433,NASDAQ National Market,NASDAQ,13.5,"7,407,407",S1,13.5,14.2
12/16/09,CIE,"Cobalt International Energy, Inc.",811322-61975,54,"$3,750,000.00 ",--,"336,165,202",180,40,1471261,NYSE,NYSE,13.5,"63,000,000",S1,13.5,13.5
11/19/10,ARX,AEROFLEX HOLDING CORP.,825331-63804,2950,"$6,500,000.00 ",0,"82,250,000",180,40,1487990,NYSE,NYSE,13.5,"17,250,000",S1,13.5,12.67
11/6/14,CHRS,"Coherus Oncology, Inc.",848758-76555,46,"$3,900,000.00 ",--,"32,051,949",180,40,1512762,NASDAQ National Market,NASDAQ,13.5,"6,296,300",S1,13.5,12.61
2/3/17,METC,"Ramaco Resources, Inc.",1011485-82493,46,"$4,000,000.00 ","2,200,000","39,062,576",180,40,1687187,NASDAQ Global Select,NASDAQ,13.5,"6,000,000",S1,13.5,13.55
10/26/06,HMIN,Homeinns Hotel Group,722610-51814,3857,"$2,623,068.00 ","3,014,173","7,900,000",180,25,1376972,NASDAQ National Market,NASDAQ,13.8,"7,900,000",F1,13.8,22.5
8/8/07,EJ,E-HOUSE (CHINA) HOLDINGS LTD,750285-55316,3181,"$3,380,126.00 ","3,150,000","74,607,895",180,26,1405658,NYSE,NYSE,13.8,"14,600,000",F1,13.8,19.43
5/2/19,SY,So-Young International Inc.,1082146-89388,862,"$3,926,319.00 ",--,"13,000,000",180,40,1758530,NASDAQ Global,NASDAQ,13.8,"13,000,000",F1,13.8,18.2
10/1/10,CCIH,ChinaCache International Holdings Ltd.,836884-65128,289,"$2,939,828.00 ","1,046,880","371,297,132",180,40,1498576,NASDAQ National Market,NASDAQ,13.9,"6,060,980",F1,13.9,27.15
3/4/03,TKG,TELKOM SA LTD,393771-32543,38589,"$22,775,031.00 ",--,"696,257,954",180,27,1214299,NYSE,NYSE,13.98,"34,814,489",F1,13.98,13.9
7/26/00,GMNI,GEMINI GENOMICS PLC,77594-4076,80,"$1,700,000.00 ",--,"31,447,610",180,26,1117089,NASDAQ National Market,NASDAQ,14,"6,000,000",0,14,20
9/28/00,UOPX,APOLLO EDUCATION GROUP INC,8112-10312,1665,"$1,050,000.00 ",--,"52,500,000",180,25,929887,NASDAQ National Market,NASDAQ,14,"5,000,000",0,14,17.8125
6/24/04,SLH,"STRATEGIC HOTELS & RESORTS, INC",242156-37806,37,"$11,298,678.00 ",--,"26,254,100",180,25,1057436,NYSE,NYSE,14,"17,600,000",0,14,14.35
12/16/05,EMS,Envision Healthcare Corp,690787-47307,18500,"$4,474,783.00 ",--,"8,948,325",180,25,1344154,NYSE,NYSE,14,"7,800,000",0,14,13.1
4/23/10,EXL,"Excel Trust, Inc.",818190-63002,20,"$3,100,000.00 ",--,"15,604,935",180,25,1478950,NYSE,NYSE,14,"15,000,000",0,14,13.3
7/27/12,AMRE,"AmREIT, Inc.",745755-67703,42,"$1,560,000.00 ",--,"3,962,498",180,40,1397807,NYSE,NYSE,14,"3,650,000",0,14,14.02
7/19/13,REXR,"Rexford Industrial Realty, Inc.",907299-72599,31,"$6,787,712.00 ",--,"25,229,818",180,40,1571283,NYSE,NYSE,14,"16,000,000",0,14,14.04
4/11/14,FPI,Farmland Partners Inc.,924284-74393,2,"$1,945,000.00 ",--,"4,014,283",180,40,1591670,American Stock Exchange,NYSE,14,"3,800,000",0,14,12.98
5/10/17,FPH,"Five Point Holdings, LLC",904276-83338,200,"$7,446,930.00 ",--,"58,426,008",180,40,1574197,NYSE,NYSE,14,"21,000,000",0,14,15.04
6/21/18,EPRT,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",1054735-86984,19,"$10,000,000.00 ",--,"40,976,901",180,40,1728951,NYSE,NYSE,14,"32,500,000",0,14,13.64
3/4/04,LTON,MNC MEDIA INVESTMENT LTD,622809-37840,234,"$1,429,706.00 ","990,000","250,129,200",180,25,1270532,NASDAQ National Market,NASDAQ,14,"6,140,000",F1,14,17.42
6/24/04,XRTX,XYRATEX GROUP LTD,112437-39796,771,--,"2,956,522","28,163,242",180,25,1175295,NASDAQ National Market,NASDAQ,14,"6,956,522",F1,14,13.95
6/24/04,XRTX,XYRATEX LTD,638017-40042,771,--,"2,956,522","28,163,242",180,25,1284823,NASDAQ National Market,NASDAQ,14,"6,956,522",F1,14,13.95
9/29/04,JOBS,"51JOB, INC.",642283-40347,1937,"$1,589,636.00 ",--,"53,593,979",180,26,1295484,NASDAQ National Market,NASDAQ,14,"5,250,000",F1,14,21.15
3/11/05,SHMR,Shamir Optical Industry Ltd.,664030-43321,539,"$2,148,121.00 ","600,000","16,111,332",180,25,1317362,NASDAQ National Market,NASDAQ,14,"4,000,000",F1,14,16
12/8/06,ANW,AEGEAN MARINE PETROLEUM NETWORK INC.,691060-47351,297,"$2,000,000.00 ",--,"40,535,000",180,25,1344376,NYSE,NYSE,14,"12,500,000",F1,14,16.02
6/27/07,SPRD,SPREADTRUM COMMUNICATIONS INC,632033-54874,727,"$3,818,145.00 ","992,700","124,328,561",180,26,1287950,NASDAQ National Market,NASDAQ,14,"8,992,700",F1,14,15.95
8/9/07,WX,WuXi PharmaTech (Cayman) Inc.,751806-55471,1972,--,"3,188,979","476,400,000",180,25,1403132,NYSE,NYSE,14,"13,188,979",F1,14,19.6
10/19/07,NED,NOAH EDUCATION HOLDINGS LTD.,757452-56204,907,--,"1,121,557","9,847,129",180,25,1411825,NYSE,NYSE,14,"9,847,129",F1,14,19.85
12/12/07,XIN,"Xinyuan Real Estate Co., Ltd.",743028-56807,575,"$4,124,092.00 ",--,"143,950,074",180,26,1398453,NYSE,NYSE,14,"17,500,000",F1,14,16.8
4/22/10,MITL,MITEL NETWORKS CORP,106107-62946,2353,"$6,002,075.00 ",--,"52,803,159",180,25,1170534,NASDAQ National Market,NASDAQ,14,"10,526,316",F1,14,12.3
8/12/10,MMYT,MakeMyTrip Ltd,833644-64779,757,--,"1,153,846","34,134,002",180,40,1495153,NASDAQ National Market,NASDAQ,14,"5,000,000",F1,14,26.45
8/6/10,NXPI,NXP Semiconductors N.V.,757890-63906,27539,--,--,"249,251,500",180,40,1413447,NASDAQ National Market,NASDAQ,14,"34,000,000",F1,14,11.03
5/4/11,RENN,"Moatable, Inc.",853001-66877,1570,"$4,510,246.00 ","10,201,289","1,175,789,529",180,40,1509223,NYSE,NYSE,14,"53,100,000",F1,14,18.01
3/30/12,GLOG,GasLog Ltd.,872099-69045,72,"$4,750,000.00 ",--,"62,863,166",180,40,1534126,NYSE,NYSE,14,"23,500,000",F1,14,12.41
8/10/12,MANU,Manchester United plc,885184-70269,710,"$12,302,930.00 ","8,333,333","39,685,700",180,40,1549107,NYSE,NYSE,14,"16,666,667",F1,14,14
8/1/13,ASC,Ardmore Shipping Corp,909839-72916,11,"$1,500,000.00 ",--,"18,050,000",180,40,1577437,NYSE,NYSE,14,"10,000,000",F1,14,15.6
9/27/13,ENZY,Enzymotec Ltd.,914028-73320,149,"$2,800,000.00 ",--,"20,869,700",180,40,1578809,NASDAQ National Market,NASDAQ,14,"4,412,000",F1,14,18.16
3/20/14,MDWD,MediWound Ltd.,926844-74602,43,--,--,"20,350,586",180,40,1593984,NASDAQ National Market,NASDAQ,14,"5,000,000",F1,14,17.27
4/9/14,KANG,"iKang Healthcare Group, Inc.",928699-74760,5069,"$3,780,610.00 ","3,330,400","10,904,846",180,40,1524190,NASDAQ National Market,NASDAQ,14,"10,904,846",F1,14,15.2
5/8/14,CMCM,Cheetah Mobile Inc.,931330-75050,1178,"$3,210,273.00 ",--,"12,000,000",180,40,1597835,NYSE,NYSE,14,"12,000,000",F1,14,14.1
9/28/17,NITE,Nightstar Therapeutics plc,1031815-84628,23,"$3,300,000.00 ",--,"28,100,714",180,40,1711675,NASDAQ Global Select,NASDAQ,14,"5,360,000",F1,14,24
3/27/18,GHG,GreenTree Hospitality Group Ltd.,1046879-86158,2259,"$5,492,554.00 ",--,"10,200,000",180,41,1724755,NYSE,NYSE,14,"10,200,000",F1,14,13
9/12/18,YI,"111, Inc.",1062012-87641,1117,"$2,800,000.00 ",--,"7,175,000",180,40,1738906,NASDAQ Global,NASDAQ,14,"7,175,000",F1,14,13.8
10/31/18,ORTX,Orchard Therapeutics plc,1066041-88059,100,"$4,150,000.00 ",--,"84,047,200",180,40,1748907,NASDAQ Global Select,NASDAQ,14,"14,285,715",F1,14,14
12/6/18,MOGU,MOGU Inc.,1069232-88337,1000,"$5,700,000.00 ",--,"4,750,000",180,40,1743971,NYSE,NYSE,14,"4,750,000",F1,14,14
4/11/19,TUFN,Tufin Software Technologies Ltd.,1079418-89116,424,"$2,394,542.00 ",--,"32,436,501",180,40,1757399,NYSE,NYSE,14,"7,700,000",F1,14,19.1
8/8/19,INMD,InMode Ltd.,1090711-90118,209,"$1,875,000.00 ",--,"31,973,572",180,40,1742692,NASDAQ Global Select,NASDAQ,14,"5,000,000",F1,14,13.57
11/7/19,CNTG,Centogene N.V.,1098429-90819,400,"$5,000,000.00 ",--,"19,861,340",180,40,1757097,NASDAQ Global,NASDAQ,14,"4,000,000",F1,14,12.49
1/17/20,IMAB,I-Mab,1099698-90925,185,"$4,302,807.00 ",--,"7,407,400",180,40,1778016,NASDAQ Global,NASDAQ,14,"7,407,400",F1,14,12.75
11/17/17,BXG,BLUEGREEN VACATIONS CORP,7500-85070,5729,"$1,422,427.00 ","2,761,925","74,734,455",180,40,778946,NYSE,NYSE,14,"6,498,648",S1,14,13
7/21/00,TALR,TALARIAN CORP,75262-2485,82,"$1,550,000.00 ",--,"19,055,053",180,25,857914,NASDAQ National Market,NASDAQ,16,"4,200,000",S1,14,22.75
8/8/12,PSMI,PEREGRINE SEMICONDUCTOR CORP,377256-65718,340,"$4,222,798.00 ","159,220","30,570,081",180,40,880177,NASDAQ National Market,NASDAQ,14,"5,500,000",S1,14,14.71
7/28/04,MNKD,MANNKIND CORP,126000-39232,223,"$1,825,000.00 ",--,"32,391,461",180,26,899460,NASDAQ National Market,NASDAQ,14,"6,250,000",S1,14,14.08
2/1/17,LAUR,"LAUREATE EDUCATION, INC.",3789-79506,67800,"$9,000,000.00 ",--,"35,000,000",180,40,912766,NASDAQ Global Select,NASDAQ,14,"35,000,000",S1,14,13.25
11/2/00,ESLR,EVERGREEN SOLAR INC,78117-5836,50,"$1,050,000.00 ",--,"11,057,705",180,25,947397,NASDAQ National Market,NASDAQ,14,"3,000,000",S1,14,19
11/20/03,CALD,CALLIDUS SOFTWARE INC,193586-35586,265,"$2,750,000.00 ",--,"22,488,261",180,25,1035748,NASDAQ National Market,NASDAQ,14,"5,000,000",S1,14,17.37
6/12/03,FORM,FORMFACTOR INC,97357-29260,299,"$1,550,000.00 ","394,695","33,368,322",180,25,1039399,NASDAQ National Market,NASDAQ,14,"6,000,000",S1,14,17.58
7/21/00,VGNX,VARIAGENICS INC,74711-2414,51,"$1,100,000.00 ",--,"22,218,046",180,25,1043082,NASDAQ National Market,NASDAQ,14,"5,000,000",S1,14,24.5
7/24/03,IPAS,IPASS INC,73785-32489,305,"$2,000,000.00 ",--,"58,710,175",180,25,1053374,NASDAQ National Market,NASDAQ,14,"7,000,000",S1,14,18.67
12/13/01,CNTE,CENTENE CORP,91560-15148,413,"$800,000.00 ","250,000","10,071,369",180,25,1071739,NASDAQ National Market,NASDAQ,14,"3,500,000",S1,14,17.2
9/28/00,VAST,VASTERA INC,74962-2452,234,"$3,003,643.00 ",--,"34,457,508",180,25,1075056,NASDAQ National Market,NASDAQ,14,"6,000,000",S1,14,17.25
8/3/00,RSTA,ROSETTA INPHARMATICS INC,74356-2367,150,"$1,000,850.00 ",--,"29,948,400",180,25,1081935,NASDAQ National Market,NASDAQ,14,"7,200,000",S1,14,17.875
7/22/04,IDIX,IDENIX PHARMACEUTICALS INC,107188-36856,143,"$1,875,000.00 ","1,200,000","47,779,960",180,25,1093649,NASDAQ National Market,NASDAQ,14,"5,800,000",S1,14,13.45
8/10/00,RTIX,"RTI SURGICAL, INC.",75640-2573,346,"$1,000,000.00 ","1,900,000","21,308,562",180,25,1100441,NASDAQ National Market,NASDAQ,14,"5,700,000",S1,14,14.125
10/30/03,MYOG,MYOGEN INC,118445-35167,53,"$1,500,000.00 ",--,"25,659,470",180,25,1101052,NASDAQ National Market,NASDAQ,14,"5,000,000",S1,14,14.9
